,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
31,cape town,0,ZA,1556933766,93,-33.93,18.42,60.01,4.7
32,palatka,75,US,1556934153,100,29.65,-81.64,78.8,4.7
33,quelimane,90,MZ,1556931600,94,-17.88,36.89,71.6,2.01
34,peace river,90,CA,1556931600,22,56.23,-117.29,35.6,4.7
35,victoria,75,BN,1556931600,79,5.28,115.24,86,1.12
36,nabire,100,ID,1556934199,95,-3.36,135.5,76.91,3.6
37,katiola,100,CI,1556934094,90,8.14,-5.1,77.31,4.45
38,mataura,100,NZ,1556934007,57,-46.19,168.86,66.99,13
39,new norfolk,75,AU,1556934195,67,-42.78,147.06,60.01,10.29
40,avarua,100,CK,1556931600,78,-21.21,-159.78,80.6,17.22
41,hamilton,90,CA,1556933972,87,43.26,-79.87,53.01,8.05
42,salalah,20,OM,1556931000,78,17.01,54.1,82.4,2.24
43,tokur,97,RU,1556934213,36,53.13,132.9,47.82,6.38
44,carnarvon,0,ZA,1556934204,51,-30.97,22.13,52.34,5.17
45,nemuro,0,JP,1556931600,45,43.32,145.57,62.6,10.29
46,butaritari,100,KI,1556934219,78,3.07,172.79,83.07,16.82
47,turukhansk,100,RU,1556934220,99,65.8,87.96,34.45,8.55
48,cienfuegos,40,CU,1556931480,78,22.15,-80.44,82.4,3.36
49,comodoro rivadavia,0,AR,1556931600,60,-45.87,-67.48,39.2,15.1
50,tuatapere,100,NZ,1556934007,57,-46.13,167.69,66.99,13
51,chokurdakh,92,RU,1556934227,94,70.62,147.9,30.76,6.42
52,saint-gaudens,90,FR,1556934139,93,43.11,0.72,48.99,6.93
53,sao filipe,2,CV,1556934233,80,14.9,-24.5,71.87,15.52
54,saint-philippe,90,CA,1556934081,93,45.36,-73.48,50,4.7
55,codrington,90,AU,1556934150,83,-28.95,153.24,75.2,5.44
56,usinsk,97,RU,1556934240,99,66,57.56,39.4,13.69
57,bundaberg,90,AU,1556934012,88,-24.87,152.35,75,5.82
58,talnakh,0,RU,1556931600,66,69.49,88.39,10.4,4.47
59,port alfred,52,ZA,1556934164,79,-33.59,26.89,63,7
60,bam,0,IR,1556934246,20,29.11,58.36,64.87,1.66
61,vila franca do campo,75,PT,1556931600,93,37.72,-25.43,62.6,13.87
62,kaitangata,100,NZ,1556934252,73,-46.28,169.85,59.25,4.25
63,cabo san lucas,40,MX,1556934030,36,22.89,-109.91,82.4,12.59
64,williams lake,75,CA,1556931600,56,52.13,-122.14,57.2,6.93
65,lourdes,20,SV,1556931000,83,13.73,-89.37,84.2,5.82
66,puerto madryn,61,AR,1556934261,60,-42.77,-65.04,47.66,12.55
67,mahibadhoo,99,MV,1556934265,73,3.78,72.97,83.86,8.28
68,lichinga,0,MZ,1556934266,84,-13.3,35.25,66.36,4.59
69,sechura,0,PE,1556934269,86,-5.56,-80.82,70.3,11.03
70,tawau,40,MY,1556931600,74,4.26,117.89,86,2.24
71,upernavik,46,GL,1556934273,88,72.79,-56.15,26.56,13.29
72,egvekinot,100,RU,1556934275,88,66.32,-179.17,27.99,13.94
73,cockburn town,100,TC,1556934113,79,21.46,-71.14,79.34,24.02
74,minab,0,IR,1556931600,56,27.15,57.07,75.2,2.24
75,faanui,75,PF,1556934282,75,-16.48,-151.75,81.95,18.14
76,saint george,75,GR,1556931000,76,39.45,22.34,48.2,2.46
77,biala podlaska,54,PL,1556934285,77,52.03,23.12,38.14,5.77
78,savannakhet,75,TH,1556931600,66,16.57,104.76,86,2.24
79,hithadhoo,99,MV,1556934290,78,-0.6,73.08,84.72,8.19
80,ternate,40,PH,1556933917,62,14.29,120.72,90,4.7
81,middletown,90,US,1556934203,93,41.45,-74.42,55.99,3.4
82,balkanabat,92,TM,1556934297,29,39.51,54.36,79.61,5.1
83,parksville,1,US,1556934245,83,33.79,-82.22,75.99,1.86
84,angoche,0,MZ,1556934302,90,-16.23,39.91,70.68,4.36
85,contai,100,IN,1556934304,67,21.78,87.75,85.03,18.32
86,ust-kuyga,1,RU,1556934308,61,70,135.55,20.55,3.47
87,yellowknife,20,CA,1556934286,54,62.45,-114.38,32,8.05
88,tasiilaq,56,GL,1556934314,80,65.61,-37.64,22.21,2.51
89,ketchikan,90,US,1556931360,93,55.34,-131.65,51.8,9.17
90,puerto ayora,20,EC,1556933420,83,-0.74,-90.35,78.8,17.22
91,lamu,75,ID,1556934323,52,0.57,122.3,87.8,5.73
92,zhezkazgan,0,KZ,1556931600,69,47.8,67.71,33.8,8.95
93,esperance,20,TT,1556934306,78,10.24,-61.45,80.01,9.17
94,payakumbuh,3,ID,1556934331,56,-0.23,100.63,86.31,1.1
95,sandwick,100,GB,1556934084,95,54.57,-2.89,43,8.05
96,campo verde,40,PE,1556931600,83,-8.47,-74.81,80.6,4.7
97,pskov,0,RU,1556931600,86,57.82,28.33,28.4,6.71
98,kanigoro,3,ID,1556934342,60,-8.13,112.22,86.34,7.81
99,khash,0,IR,1556934344,16,28.22,61.21,65.46,2.77
100,severo-kurilsk,58,RU,1556934348,77,50.68,156.12,37.4,13.62
101,den helder,75,NL,1556934345,70,52.96,4.76,44.6,19.46
102,mbeya,39,TZ,1556934352,98,-8.91,33.47,58.23,4.63
103,aras,4,YE,1556934354,33,14.28,44.38,70.36,5.48
104,naze,100,NG,1556934357,92,5.43,7.07,76.69,3.74
105,aksu,40,KZ,1556931600,56,52.04,76.93,44.6,2.37
106,hermanus,88,ZA,1556933494,69,-34.42,19.24,57,3
107,oranjemund,0,ZA,1556934362,81,-28.55,16.43,58.95,25.9
108,jalaun,47,IN,1556934364,39,26.14,79.33,93.18,6.13
109,yeniseysk,98,RU,1556934365,52,58.45,92.17,48.78,7.58
110,cascais,0,PT,1556934317,82,38.7,-9.42,60.01,11.41
111,areni,75,AM,1556931060,67,39.72,45.19,59,6.26
112,sterling,75,US,1556934371,78,39,-77.4,73,5.82
113,souillac,0,FR,1556934309,93,45.6,-0.6,48,5.82
114,kahului,40,US,1556934343,69,20.89,-156.47,80.6,10.29
115,kodiak,1,US,1556934364,35,39.95,-94.76,55.99,5.82
116,gat,75,SN,1556931600,93,14.69,-16.54,66.2,12.75
117,vaini,90,IN,1556931600,100,15.34,74.49,66.2,3.36
118,ereymentau,36,KZ,1556934387,33,51.62,73.1,50.54,8.7
119,wuda,2,CN,1556934390,26,39.5,106.72,70.77,6.67
120,laguna,75,MX,1556930400,14,27.52,-110.01,87.8,9.17
121,quesnel,90,CA,1556931600,41,52.98,-122.49,57.2,3.36
122,olga,1,US,1556934396,53,34.11,-118.17,73.4,12.75
123,georgetown,75,GY,1556931600,94,6.8,-58.16,77,6.93
124,wanning,75,AT,1556934325,93,48.64,13.53,46.4,2.24
125,sisimiut,0,GL,1556934405,70,66.94,-53.67,39,12.08
126,tura,100,IN,1556934408,88,25.52,90.21,75.43,14.23
127,almaznyy,0,RU,1556931600,87,48.03,40.04,51.8,6.71
128,beringovskiy,14,RU,1556934412,58,63.05,179.32,35.83,7.65
129,busselton,6,AU,1556934226,55,-33.64,115.35,69.01,23.85
130,taveta,75,TZ,1556931600,88,-3.4,37.68,71.6,5.44
131,sovetskiy,0,RU,1556934418,84,56.76,48.47,49.32,8.01
132,nelson bay,75,AU,1556934359,72,-32.72,152.14,64.4,6.93
133,kisangani,51,CD,1556934423,89,0.52,25.21,71.74,2.08
134,east london,51,ZA,1556934425,73,-33.02,27.91,57.58,9.8
135,paamiut,100,GL,1556934428,57,61.99,-49.67,42.8,6.08
136,cidreira,49,BR,1556934430,92,-30.17,-50.22,72.1,4.61
137,bluff,100,AU,1556934432,76,-23.58,149.07,70.47,5.5
138,bani walid,100,LY,1556934435,32,31.76,14,73.67,21.88
139,the valley,40,AI,1556934412,74,18.22,-63.06,78.8,11.41
140,port elizabeth,1,US,1556934436,93,39.31,-74.98,64.4,6.93
141,ambovombe,0,MG,1556934443,70,-25.18,46.09,76.08,11.03
142,ust-kut,72,RU,1556934444,38,56.78,105.75,45.93,10.76
143,chateauroux,0,FR,1556934425,87,43.72,0.65,50,4.7
144,sorland,80,NO,1556934449,64,67.67,12.69,38.17,25.75
145,tocopilla,86,CL,1556934452,90,-22.09,-70.2,62.85,6.98
146,togul,0,RU,1556934455,30,53.47,85.91,49.93,5.3
147,zeya,46,RU,1556934459,23,53.74,127.27,44.06,12.3
148,lebu,20,ET,1556931600,51,8.96,38.73,59,3.36
149,karratha,12,AU,1556934464,15,-20.74,116.85,92.21,15.1
150,arraial do cabo,40,BR,1556931600,83,-22.97,-42.02,78.8,9.17
151,hambantota,20,LK,1556932200,100,6.12,81.12,78.8,2.24
152,isangel,75,VU,1556931600,58,-19.55,169.27,82.4,17.22
153,muroto,20,JP,1556931600,52,33.37,134.14,69.8,6.93
154,jamestown,36,AU,1556934352,57,-33.21,138.6,62.31,8.21
155,volkhov,0,RU,1556934091,58,59.92,32.34,34,10.27
156,aklavik,5,CA,1556931600,83,68.22,-135.01,32,8.05
157,clyde river,90,CA,1556934240,100,70.47,-68.59,21.2,16.11
158,tromso,75,NO,1556934181,86,69.65,18.96,28.99,27.51
159,najran,0,SA,1556931600,29,17.54,44.22,78.8,6.93
160,ancud,90,CL,1556931600,100,-41.87,-73.83,53.6,6.93
161,mahebourg,75,MU,1556934240,88,-20.41,57.7,73.4,4.7
162,castelo branco,0,PT,1556934496,58,39.82,-7.5,52.57,4.18
163,ruidoso,1,US,1556934488,14,33.33,-105.67,82.4,5.82
164,sitka,6,US,1556934364,88,37.17,-99.65,57.99,7
165,thai nguyen,90,VN,1556931600,100,21.59,105.84,71.6,2.24
166,sault sainte marie,1,CA,1556931600,74,46.49,-84.36,37.4,8.05
167,ribeira grande,100,PT,1556934508,83,38.52,-28.7,62.15,12.3
168,lavrentiya,99,RU,1556934510,94,65.58,-170.99,28.51,5.17
169,oconomowoc,5,US,1556934480,75,43.11,-88.5,48.99,4.7
170,honiara,40,SB,1556931600,75,-9.43,159.96,89.6,11.41
171,nexo,100,DK,1556931000,65,55.06,15.13,41,18.34
172,hobart,75,AU,1556934315,67,-42.88,147.33,60.01,10.29
173,tuktoyaktuk,5,CA,1556931600,79,69.44,-133.03,24.8,14.99
174,dunedin,98,NZ,1556934094,58,-45.87,170.5,59,3
175,teguldet,43,RU,1556934525,33,57.31,88.17,52.57,8.61
176,tiznit,82,MA,1556934527,86,29.7,-9.73,62.4,14.16
177,upata,46,VE,1556934530,80,8.02,-62.41,75.06,5.55
178,yar-sale,100,RU,1556934532,99,66.83,70.83,33.44,8.61
179,varhaug,20,NO,1556934393,60,58.61,5.65,39.2,12.75
180,flin flon,100,CA,1556934537,67,54.77,-101.88,34.45,4.36
181,margate,75,AU,1556934495,67,-43.03,147.26,60.01,10.29
182,yulara,0,AU,1556931600,28,-25.24,130.99,68,18.34
183,paris,40,FR,1556934204,87,48.86,2.35,46.99,5.82
184,illapel,94,CL,1556934427,87,-31.63,-71.17,57.94,3.02
185,nikolskoye,75,RU,1556934460,59,59.7,30.79,36,8.95
186,dayong,38,PH,1556934548,66,11.74,122.04,86.74,6.76
187,fukue,0,JP,1556934244,40,35.03,136.69,77,2.24
188,tsumeb,0,NA,1556934555,30,-19.25,17.72,61.2,4.09
189,borogontsy,100,RU,1556934558,41,62.67,131.17,40.96,12.12
190,fort nelson,90,CA,1556931600,68,58.81,-122.69,28.4,5.82
191,zhuhai,20,CN,1556931600,59,40.71,112.04,60.8,2.24
192,novopokrovka,0,RU,1556934564,26,45.85,134.51,74.17,7.58
193,bom jesus,20,BR,1556931600,88,-5.99,-35.58,77,4.7
194,buta,55,CD,1556934567,78,2.79,24.73,72.93,1.34
195,pitimbu,75,BR,1556931600,88,-7.47,-34.81,77,4.7
196,luderitz,0,NA,1556931600,87,-26.65,15.16,57.2,10.29
197,lara,0,PE,1556931600,53,-16.45,-71.53,51.8,4.7
198,cayenne,67,GF,1556931600,88,4.94,-52.33,78.8,4.7
199,antofagasta,90,CL,1556931600,68,-23.65,-70.4,64.4,3.36
200,sur,0,OM,1556934580,19,22.57,59.53,88.18,8.23
201,olovyannaya,100,RU,1556934584,52,50.94,115.59,42.03,19.64
202,lompoc,1,US,1556934322,72,34.64,-120.46,66.99,12.75
203,fortuna,0,ES,1556934585,71,38.18,-1.13,57.2,5.82
204,mahon,75,IE,1556931600,86,51.89,-8.4,41,9.17
205,singaraja,0,ID,1556934594,64,-8.11,115.08,86.14,6.69
206,kavaratti,63,IN,1556934596,62,10.57,72.64,85.37,9.62
207,lorengau,100,PG,1556934597,90,-2.02,147.27,78.57,9.62
208,tiksi,0,RU,1556934600,78,71.64,128.87,17.92,16.55
209,ilinskoye-khovanskoye,0,RU,1556931600,77,56.97,39.77,41,11.18
210,bethel,90,US,1556932740,93,60.79,-161.76,44.6,12.75
211,khorramshahr,75,IR,1556931600,32,30.43,48.18,86,6.93
212,poum,80,MK,1556934610,68,41.28,20.71,43.16,1.5
213,olinda,75,EC,1556931600,74,-2.03,-79.75,82.4,9.17
214,torbay,90,CA,1556934501,90,47.66,-52.73,36,16.11
215,nioro,0,GM,1556934618,43,13.79,-15.05,74.77,10.87
216,vardo,90,US,1556934367,88,39.62,-77.74,66.99,5.82
217,eyl,65,SO,1556934622,74,7.98,49.82,81.97,9.46
218,kimparana,98,ML,1556934624,32,12.83,-4.92,93.18,6.13
219,abu zabad,23,SD,1556934626,6,12.35,29.25,85.05,11.21
220,iqaluit,20,CA,1556934282,92,63.75,-68.52,17.6,18.34
221,starosubkhangulovo,100,RU,1556934632,55,53.1,57.43,50.27,14.18
222,algiers,1,US,1556934622,73,29.94,-90.04,78.8,5.82
223,vestmanna,96,FO,1556932800,69,62.16,-7.17,35.6,21.92
224,axim,100,GH,1556934640,82,4.87,-2.24,80.67,5.28
225,tolbazy,75,RU,1556931600,77,54.01,55.89,59,20.13
226,luganville,20,VU,1556931600,62,-15.51,167.18,84.2,13.87
227,jieshi,7,CN,1556934644,38,22.82,115.83,80.4,9.1
228,quatre cocos,75,MU,1556934240,88,-20.21,57.76,73.4,4.7
229,saint-prosper,100,CA,1556934424,98,46.21,-70.48,45,2.17
230,makakilo city,75,US,1556934580,74,21.35,-158.09,82.4,9.17
231,pevek,0,RU,1556934652,82,69.7,170.27,31.17,3.2
232,gidole,94,ET,1556934654,79,5.65,37.37,68.56,2.84
233,ixtapa,90,MX,1556934603,78,20.71,-105.21,78.8,11.41
234,port-gentil,100,GA,1556934382,87,-0.72,8.78,81.43,9.06
235,jati,0,PK,1556934664,40,24.35,68.27,87.85,10.42
236,abnub,0,EG,1556931600,30,27.27,31.15,71.6,13.87
237,komsomolskiy,100,RU,1556934669,99,67.55,63.78,34.57,13.31
238,haapiti,20,PF,1556934303,58,-17.57,-149.87,86,6.93
239,port lincoln,90,AU,1556934674,60,-34.72,135.86,59.2,5.01
240,nanortalik,5,GL,1556934676,65,60.14,-45.24,40.51,4.12
241,petershagen,75,DE,1556934653,86,52.38,8.97,41,6.93
242,coahuayana,0,MX,1556934680,19,18.62,-100.35,88.34,3.38
243,sabla,100,NG,1556934683,51,12.75,4.71,87.37,15.5
244,prince rupert,90,CA,1556933820,93,54.32,-130.32,46.4,4.7
245,bulod,61,PH,1556934688,54,11,124.99,90.32,6.22
246,saskylakh,41,RU,1556934689,94,71.97,114.09,15.44,8.01
247,kologriv,6,RU,1556934691,70,58.83,44.31,42.71,8.12
248,adrar,0,DZ,1556931600,16,27.87,-0.29,73.4,4.7
249,kambove,59,CD,1556934697,95,-10.88,26.6,59.88,4.25
250,ngunguru,0,NZ,1556933884,73,-35.62,174.5,66,3
251,kupang,20,ID,1556931600,62,-10.16,123.6,89.6,8.05
252,graciano sanchez,75,MX,1556931720,73,23.92,-99.28,71.6,8.05
253,kalianget,20,ID,1556931600,74,-7.35,109.91,82.4,4.7
254,kavieng,100,PG,1556934708,81,-2.57,150.8,82.38,19.13
255,hendersonville,1,US,1556934708,88,36.3,-86.62,71.01,6.24
256,fare,83,PF,1556934714,76,-16.7,-151.02,81.21,20.58
257,cerrito,75,CO,1556931600,100,6.84,-72.7,73.4,3.36
258,alofi,90,NU,1556931600,88,-19.06,-169.92,78.8,12.75
259,bella union,100,CO,1556934720,92,8.5,-73.35,68.07,4.59
260,kralendijk,73,BQ,1556931300,78,12.15,-68.27,80.6,21.92
261,dongsheng,100,CN,1556934722,38,29.72,112.52,80.46,5.28
262,vostok,0,RU,1556934724,24,46.45,135.83,71.33,9.66
263,necochea,0,AR,1556934380,78,-38.55,-58.74,55,4.9
264,haines junction,51,CA,1556934728,57,60.75,-137.51,41.97,3.78
265,bilibino,28,RU,1556934729,85,68.06,166.44,28.4,1.16
266,half moon bay,20,US,1556934721,87,37.46,-122.43,71.01,12.75
267,manta,16,RO,1556934734,75,45.1,24.1,47.84,4.23
268,salisbury,100,GB,1556934726,81,51.07,-1.8,48.2,8.05
269,hualmay,0,PE,1556934741,92,-11.1,-77.61,64.85,14.38
270,plastun,0,RU,1556934743,15,44.76,136.29,75,8.21
271,kati,0,ML,1556933400,37,12.75,-8.07,82.4,2.24
272,taltal,0,CL,1556934746,78,-25.41,-70.49,60.76,2.35
273,pakokku,15,MM,1556934748,38,21.33,95.09,94.78,15.5
274,vallenar,0,CL,1556934749,76,-28.58,-70.76,61.93,2.01
275,gubkinskiy,100,RU,1556934750,96,64.43,76.5,35.67,11.97
276,binzhou,100,CN,1556931063,24,37.38,117.96,78.01,11.79
277,pravia,0,ES,1556934686,87,43.49,-6.11,46.4,3.36
278,manokwari,100,ID,1556934758,87,-0.87,134.08,76.05,3.18
279,belmonte,0,PT,1556934403,89,40.36,-7.35,44.01,1.01
280,castro,90,CL,1556931600,100,-42.48,-73.76,53.6,6.93
281,sabzevar,78,IR,1556934764,35,36.21,57.68,64.8,6.62
282,syamzha,0,RU,1556934767,62,60.02,41.06,33.85,11.48
283,urengoy,100,RU,1556934769,99,65.96,78.37,34.38,7.14
284,avera,1,US,1556934734,83,33.19,-82.53,77,3.36
285,vila velha,20,BR,1556934491,83,-3.71,-38.6,80.6,4.7
286,dicabisagan,1,PH,1556934776,48,17.08,122.42,91.13,4.9
287,san quintin,1,PH,1556934778,39,17.54,120.52,91.96,7.78
288,hokitika,100,NZ,1556934780,78,-42.72,170.96,58.55,8.25
289,nizhniy kuranakh,100,RU,1556934783,49,58.84,125.49,37.49,10.78
290,sabang,6,PH,1556934785,63,13.72,123.58,86.41,2.33
291,tamandare,82,BR,1556934787,87,-8.28,-70.75,74.07,2.04
292,praia,0,BR,1556931600,78,-20.25,-43.81,73.4,6.93
293,berezovyy,74,RU,1556934790,31,51.67,135.7,59.61,1.77
294,airai,100,TL,1556934792,55,-8.93,125.41,89.51,1.23
295,nirgua,86,VE,1556934795,86,10.15,-68.57,73.87,6.11
296,severo-yeniseyskiy,98,RU,1556934798,67,60.37,93.04,42.12,12.97
297,knysna,80,ZA,1556931600,67,-34.04,23.05,57.2,11.41
298,swakopmund,0,NA,1556931730,87,-22.68,14.53,55,4.7
299,eldorado,100,MX,1556934797,42,24.32,-107.36,80.01,3
300,tashtagol,0,RU,1556934809,25,52.76,87.85,51.01,4.14
301,saint-pierre,75,FR,1556934425,93,48.95,4.24,48.2,6.93
302,champerico,40,MX,1556930640,48,16.38,-93.6,87.8,5.82
303,pisco,0,PE,1556934443,82,-13.71,-76.2,68,11.41
304,tessalit,0,ML,1556934818,14,20.2,1.01,85.73,5.55
305,qaqortoq,99,GL,1556934821,46,60.72,-46.03,46.6,5.14
306,sikonge,22,TZ,1556934823,94,-5.63,32.75,63.01,4.36
307,rio cuarto,75,AR,1556931600,72,-33.13,-64.35,64.4,8.05
308,saint anthony,1,US,1556934636,20,43.97,-111.68,62.6,12.75
309,kiunga,100,PG,1556934830,54,-6.12,141.3,91.35,1.16
310,namibe,9,AO,1556934833,79,-15.19,12.15,72.37,7.07
311,dingle,62,PH,1556934834,48,11,122.67,91.17,6.29
312,mutis,100,CO,1556934837,81,6.23,-77.4,82.15,7.76
313,yakima,1,US,1556934900,32,46.6,-120.51,71.6,1.95
314,srandakan,0,ID,1556934841,73,-7.94,110.25,83.88,9.1
315,bandarbeyla,0,SO,1556934843,84,9.49,50.81,77.45,6.82
316,camacha,75,PT,1556933400,59,33.08,-16.33,62.6,8.05
317,taoudenni,78,ML,1556934849,11,22.68,-3.98,81.97,9.64
318,kurumkan,0,RU,1556934852,54,54.33,110.32,24.87,6.55
319,slave lake,75,CA,1556931600,47,55.28,-114.77,33.8,9.17
320,angren,0,UZ,1556934856,13,41.01,70.08,57.78,2.95
321,todos santos,90,MX,1556934626,28,23.45,-110.23,82.4,4.7
322,zhanaozen,32,KZ,1556934862,61,43.35,52.85,62.58,15.7
323,olot,0,UZ,1556931600,82,39.42,63.81,55.4,6.93
324,manzanillo,100,CU,1556934866,79,20.34,-77.12,81.82,4.97
325,yumen,100,CN,1556934868,17,40.29,97.04,74.39,26.24
326,portland,1,US,1556934629,40,45.52,-122.67,69.01,10.29
327,manassas,90,US,1556934816,73,38.75,-77.48,73.99,4.52
328,qasigiannguit,0,GL,1556931000,39,68.82,-51.19,48.2,14.99
329,miri,100,NG,1556934881,54,10.31,9.75,84.09,3.29
330,saryozek,0,KZ,1556934883,56,44.36,77.98,43.75,8.39
331,chapais,90,CA,1556931600,75,49.78,-74.86,41,6.8
332,liverpool,75,GB,1556934610,80,53.41,-2.98,43,6.93
333,novorudnyy,0,RU,1556931600,42,51.5,58.19,48.2,15.66
334,kontagora,100,NG,1556934890,62,10.4,5.47,83.32,2.62
335,flinders,0,AU,1556934846,34,-34.58,150.85,71.01,6.93
336,mananjary,0,MG,1556934894,82,-19.16,46.8,59.41,4.92
337,byron bay,75,AU,1556934726,78,-28.65,153.62,75.2,2.24
338,manzhouli,100,CN,1556934897,84,49.6,117.43,37.17,17.96
339,aksum,61,ET,1556934901,27,14.12,38.72,70.11,6.11
340,tilichiki,13,RU,1556934902,51,60.47,166.1,41.22,10.92
341,geraldton,75,CA,1556931600,56,49.72,-86.95,42.8,3.36
342,pacific grove,1,US,1556934789,45,36.62,-121.92,70,11.41
343,waddan,57,LY,1556934909,24,29.16,16.14,80.2,15.05
344,rosario oeste,64,BR,1556934910,81,-14.84,-56.43,76.95,2.93
345,huaihua,30,CN,1556934913,62,27.56,109.96,73.6,2.62
346,san patricio,88,PY,1556934914,94,-26.98,-56.83,73.89,5.55
347,hamza,3,UZ,1556931600,54,40.42,71.51,55.4,2.24
348,dandong,100,CN,1556934920,33,40.12,124.37,68.97,11.1
349,denizli,0,TR,1556931000,80,37.77,29.09,41,4.7
350,sangre grande,20,TT,1556934906,78,10.59,-61.13,80.01,9.17
351,chuy,0,UY,1556934928,83,-33.69,-53.46,65.23,4.5
352,sainte-marie,90,CA,1556934916,100,46.45,-71.03,45,2.06
353,suruc,75,TR,1556932800,87,36.98,38.42,50,8.05
354,neepawa,75,CA,1556931600,35,50.23,-99.46,57.2,21.92
355,daru,100,SL,1556934939,95,7.99,-10.85,76.48,2.1
356,pekalongan,0,ID,1556934940,42,-6.89,109.67,93.4,2.08
357,kosino,99,RU,1556934941,88,58.41,51.28,51.28,6.87
358,westport,1,IE,1556934723,79,53.8,-9.52,42.01,16.78
359,ardakan,0,IR,1556933400,25,32.31,54.02,64.4,2.24
360,sampit,5,ID,1556934950,51,-2.54,112.95,93.69,1.83
361,yabrud,0,SY,1556935200,81,33.97,36.66,46.4,9.17
362,nuuk,96,GL,1556934760,56,64.17,-51.74,42.8,8.05
363,nouakchott,0,MR,1556933400,88,18.08,-15.98,66.2,10.29
364,jensen beach,1,US,1556934723,88,27.25,-80.23,75.2,5.82
365,el alto,0,BO,1556931600,52,-16.5,-68.19,41,2.24
366,kajaani,90,FI,1556932800,92,64.22,27.73,28.4,8.05
367,ayagoz,1,KZ,1556934964,52,47.96,80.43,42.8,12.82
368,udachnyy,90,RU,1556931600,86,66.42,112.4,28.4,6.71
369,hlukhiv,77,UA,1556934968,89,51.68,33.91,47.53,1.86
370,arteaga,75,MX,1556934917,56,25.45,-100.85,73,5.3
371,hasaki,40,JP,1556934813,68,35.73,140.83,73.99,11.41
372,marathon,1,CA,1556934974,88,48.72,-86.38,34,1.86
373,vredendal,44,ZA,1556934975,78,-31.68,18.49,60.33,21.27
374,mandalgovi,7,MN,1556934978,28,45.76,106.27,39.06,26.93
375,leh,84,IN,1556934980,52,34.16,77.58,23.49,5.06
376,banjar,26,ID,1556934983,66,-7.37,108.54,84.63,4
377,riyadh,75,SA,1556931600,77,24.63,46.72,69.8,4.7
378,saint-joseph,75,FR,1556934917,93,43.56,6.97,55.4,3.36
379,tutoia,26,BR,1556934989,93,-2.76,-42.27,75.69,2.95
380,houma,2,CN,1556934992,42,35.63,111.36,72.77,4.43
381,provideniya,100,RU,1556934994,98,64.42,-173.23,30.65,3.87
382,harper,90,US,1556934926,88,30.3,-99.24,63,5.82
383,heihe,0,RU,1556933400,16,50.24,127.51,46.4,15.66
384,benghazi,100,LY,1556935003,32,32.12,20.07,72.5,22.84
385,dong xoai,98,VN,1556935005,57,11.53,106.92,90.79,6.64
386,amahai,100,ID,1556935006,72,-3.31,129,84.06,7.31
387,kaura namoda,100,NG,1556935010,53,12.59,6.58,86.32,9.78
388,ardalstangen,65,NO,1556934714,62,61.24,7.7,28.99,2.84
389,dzhankoy,33,UA,1556935013,81,45.71,34.39,50.36,9.08
390,touros,20,BR,1556931600,88,-5.2,-35.46,77,4.7
391,port hardy,40,CA,1556931600,66,50.7,-127.42,55.4,13.87
392,alta floresta,94,BR,1556935021,90,-9.87,-56.08,74.41,2.89
